"CLIENT","TEXT_ID","LANGUAGE","ISO_LANGUAGE","TEXT"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A147FB","E","en","Notebook Basic 15"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A167FB","E","en","Notebook Basic 15 with 1.7GHz - 15 XGA - 1024MB DDR2 SDRAM - 40GB Hard Disc"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A187FB","E","en","Notebook Basic 17"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A1A7FB","E","en","Notebook Basic 17 with 1.7GHz - 17 XGA - 1024MB DDR2 SDRAM - 40GB Hard Disc"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A1C7FB","E","en","Notebook Basic 18"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A1E7FB","E","en","Notebook Basic 18 with 1.7GHz - 18 LCD - 1024MB DDR2 SDRAM - 40GB Hard Disc"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A207FB","E","en","Notebook Basic 19"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A227FB","E","en","Notebook Basic 19 with 1.7GHz - 19 LCD - 1024MB DDR2 SDRAM - 40GB Hard Disc"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A247FB","E","en","1UMTS PDA"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A267FB","E","en","Ultra fast 3G UMTS/HSDPA Pocket PC. can be used with any GSM network in the world  - Bluetooth 2.0® wireless connectivity"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A287FB","E","en","Notebook Professional 15"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A2A7FB","E","en","Notebook Professional 15 with 2.3GHz - 15 XGA - 2048MB DDR2 SDRAM - 40GB Hard Disc - DVD-Writer (DVD-R/+R/-RW/-RAM)"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A2C7FB","E","en","Notebook Professional 17"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A2E7FB","E","en","Notebook Professional 17 with 2.3GHz - 17 XGA - 2048MB DDR2 SDRAM - 40GB Hard Disc - DVD-Writer (DVD-R/+R/-RW/-RAM)"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A307FB","E","en","Easy Hand III"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A327FB","E","en","High resolution 320x320 transflective color screen - 16MB of memory - Infrared Port - Speaker - Stylus"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A347FB","E","en","Easy Hand V"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A367FB","E","en","High resolution 320x320 transflective color screen - 32MB of memory - Infrared Port - Speaker - Stylus"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A387FB","E","en","Easy Hand VII"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A3A7FB","E","en","High resolution 320x480 transflective color screen - 16MB of memory - Infrared Port - Speaker - Stylus"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A3C7FB","E","en","Easy Power"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A3E7FB","E","en","High resolution 320x480 transflective color screen - 32MB of memory - Infrared Port - Speaker - Stylus"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A407FB","E","en","Ergo Screen"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A427FB","E","en","17 Optimum Resolution 1024 x 768 @ 85Hz. Max resolution 1280 x 960 @ 75Hz. Dot Pitch: 0.27mm"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A447FB","E","en","Easy Pixel"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A467FB","E","en","19 Optimum Resolution 1280 x 960 @ 85Hz. Max resolution 1600 x 1200 @ 75Hz. Dot Pitch: 0.26mm"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A487FB","E","en","Beam Screen"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A4A7FB","E","en","21 Optimum Resolution 1600 x 1200 @ 85Hz. Max resolution 1984 x 1488 @ 75Hz. Dot Pitch: 0.25mm"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A4C7FB","E","en","Flat Basic 15"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A4E7FB","E","en","19 Optimum Resolution 1600 x 1200 @ 85Hz. Max resolution 1984 x 1488 @ 75Hz. Dot Pitch: 0.24mm"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A507FB","E","en","Flat Future"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A527FB","E","en","21 Optimum Resolution 1984 x 1488 @ 85Hz. Max resolution 1720 x 1280 @ 75Hz. Dot Pitch: 0.24mm"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A547FB","E","en","Flat X-large"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A567FB","E","en","23 Optimum Resolution 2016 x 1512 @ 85Hz. Max resolution 2048 x 1536 @ 75Hz. Dot Pitch: 0.24mm"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A587FB","E","en","Laser Professional Eco"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A5A7FB","E","en","Print 2400 dpi image quality color documents at speeds of up to 32 ppm¹ (color) or 36 ppm¹ (monochrome). letter/A4. Powerful 500 MHz processor. 512MB of memory"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A5C7FB","E","en","Laser Basic"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A5E7FB","E","en","Up to 22 ppm color or 24 ppm monochrome letter. powerful 500 MHz processor and 128MB of memory"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A607FB","E","en","Laser Allround"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A627FB","E","en","Print up to 25 ppm letter and 24 ppm A4 color or monochrome. with a first-page-out-time of less than 13 seconds for monochrome and less than 15 seconds for color"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A647FB","E","en","Deskjet Super Color"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A667FB","E","en","1200 dpi x 1200 dpi - up to 19 ppm (mono) / up to 18 ppm (colour) - capacity: 80 sheets - Hi-Speed USB. Ethernet"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A687FB","E","en","Deskjet Mobile"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A6A7FB","E","en","1000 dpi x 1000 dpi - up to 15 ppm (mono) / up to 13 ppm (colour) - capacity: 40 sheets - Hi-Speed USB - excellent dimesions for the small office"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A6C7FB","E","en","Deskjet Super Highspeed"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A6E7FB","E","en","1200 dpi x 1200 dpi - up to 25 ppm (mono) / up to 24 ppm (colour) - capacity: 100 sheets - Hi-Speed USB2.0. Ethernet"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A707FB","E","en","Multi Print"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A727FB","E","en","1000 dpi x 1000 dpi - up to 16 ppm (mono) / up to 15 ppm (colour)- capacity 80 sheets - scanner (216 x 297 mm. 1200dpi x 2400dpi)"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A747FB","E","en","Multi Color"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A767FB","E","en","1200 dpi x 1200 dpi - up to 25 ppm (mono) / up to 24 ppm (colour)- capacity 80 sheets - scanner (216 x 297 mm. 2400dpi x 4800dpi. high resolution)"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A787FB","E","en","Cordless Mouse"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A7A7FB","E","en","Cordless Optical USB Mice. Laptop. Colour: Black. Plug&Play"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A7C7FB","E","en","Speed Mouse"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A7E7FB","E","en","Optical USB. PS/2 Mice. Colour: Blue. 3-button-functionality (incl. Scroll wheel)"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A807FB","E","en","Track Mouse"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A827FB","E","en","Optical USB Mice. Colour: Red. 5-button-functionality(incl. Scroll wheel). Plug&Play"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A847FB","E","en","Ergonomic Keyboard"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A867FB","E","en","Ergonomic USB PS/2 Keyboard for Desktop. Plug&Play"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A887FB","E","en","Internet Keyboard"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A8A7FB","E","en","Corded Keyboard with special keys for Internet Usability. USB"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A8C7FB","E","en","Media Keyboard"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A8E7FB","E","en","Corded Keyboard with special keys for Media Usability. USB"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A907FB","E","en","Mousepad"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A927FB","E","en","Nice Mousepad with ITelO Logo"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A947FB","E","en","Ergo Mousepad"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A967FB","E","en","Ergonomic Mousepad with ITelO Logo"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A987FB","E","en","Designer Mousepad"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A9A7FB","E","en","With extraordinary diligence designed by our Marketing manager with the ITelO Logo"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A9C7FB","E","en","Notebook LCD Display"
"100","02BD2137-0890-1EEA-A6C2-BB55C1A9E7FB","E","en","Replacement display for all 14'' IBM Thinkpad. Gercom Webboy. and HP Omnibook computers."
"100","02BD2137-0890-1EEA-A6C2-BB55C1AA07FB","E","en","Proctra X"
