"CLIENT","HEADER_PURCHASEORDERID","PRODUCT_PRODUCTID","NOTEID","CURRENCY","GROSSAMOUNT","NETAMOUNT","TAXAMOUNT","QUANTITY","QUANTITYUNIT","DELIVERYDATE"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BBC7FB","HT-1000","","EUR","1137.64 ","956.00 ","181.64 ","1.000 ","EA","20150507"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BBC7FB","HT-1091","","EUR","61.88 ","52.00 ","9.88 ","2.000 ","EA","20150905"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BBE7FB","HT-1100","","USD","213.96 ","179.80 ","34.16 ","2.000 ","EA","20150504"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BBE7FB","HT-2026","","USD","35.69 ","29.99 ","5.70 ","1.000 ","EA","20150715"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BC07FB","HT-2000","","EUR","892.46 ","749.97 ","142.49 ","3.000 ","EA","20150329"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BC07FB","HT-1010","","EUR","2378.81 ","1999.00 ","379.81 ","1.000 ","EA","20150323"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BC27FB","HT-1104","","JPY","196.35 ","165.00 ","31.35 ","3.000 ","EA","20150527"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BC27FB","HT-1603","","JPY","6069.00 ","5100.00 ","969.00 ","3.000 ","EA","20151219"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BC47FB","HT-1011","","JPY","5471.62 ","4598.00 ","873.62 ","2.000 ","EA","20151110"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BC47FB","HT-1104","","JPY","65.45 ","55.00 ","10.45 ","1.000 ","EA","20150730"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BC67FB","HT-1601","","MXN","1071.00 ","900.00 ","171.00 ","1.000 ","EA","20151002"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BC67FB","HT-1021","","MXN","354.62 ","298.00 ","56.62 ","2.000 ","EA","20151211"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BC87FB","HT-1003","","EUR","5890.50 ","4950.00 ","940.50 ","3.000 ","EA","20150208"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BC87FB","HT-1101","","EUR","95.08 ","79.90 ","15.18 ","1.000 ","EA","20151204"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BCA7FB","HT-1007","","USD","1187.62 ","998.00 ","189.62 ","2.000 ","EA","20150628"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BCA7FB","HT-1102","","USD","246.33 ","207.00 ","39.33 ","3.000 ","EA","20151101"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BCC7FB","HT-1600","","ARS","1428.00 ","1200.00 ","228.00 ","2.000 ","EA","20151108"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BCC7FB","HT-1022","","ARS","487.90 ","410.00 ","77.90 ","2.000 ","EA","20150712"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BCE7FB","HT-6100","","EUR","1116.22 ","938.00 ","178.22 ","2.000 ","EA","20150503"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BCE7FB","HT-1000","","EUR","2275.28 ","1912.00 ","363.28 ","2.000 ","EA","20151111"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BD07FB","HT-2026","","USD","71.38 ","59.98 ","11.40 ","2.000 ","EA","20141221"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BD07FB","HT-1002","","USD","3736.60 ","3140.00 ","596.60 ","2.000 ","EA","20150515"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BD27FB","HT-1007","","USD","593.81 ","499.00 ","94.81 ","1.000 ","EA","20150604"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BD27FB","HT-1102","","USD","246.33 ","207.00 ","39.33 ","3.000 ","EA","20151119"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BD47FB","HT-1103","","EUR","183.26 ","154.00 ","29.26 ","2.000 ","EA","20150601"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BD47FB","HT-2000","","EUR","594.98 ","499.98 ","95.00 ","2.000 ","EA","20151002"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BD67FB","HT-1104","","JPY","65.45 ","55.00 ","10.45 ","1.000 ","EA","20141213"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BD67FB","HT-1603","","JPY","6069.00 ","5100.00 ","969.00 ","3.000 ","EA","20151203"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BD87FB","HT-1603","","JPY","2023.00 ","1700.00 ","323.00 ","1.000 ","EA","20150424"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BD87FB","HT-1011","","JPY","5471.62 ","4598.00 ","873.62 ","2.000 ","EA","20150715"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BDA7FB","HT-1601","","MXN","3213.00 ","2700.00 ","513.00 ","3.000 ","EA","20150701"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BDA7FB","HT-1021","","MXN","354.62 ","298.00 ","56.62 ","2.000 ","EA","20151128"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BDC7FB","HT-2001","","USD","1070.98 ","899.98 ","171.00 ","2.000 ","EA","20150420"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BDC7FB","HT-1007","","USD","593.81 ","499.00 ","94.81 ","1.000 ","EA","20150205"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BDE7FB","HT-2000","","EUR","297.49 ","249.99 ","47.50 ","1.000 ","EA","20141210"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BDE7FB","HT-1010","","EUR","4757.62 ","3998.00 ","759.62 ","2.000 ","EA","20150404"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BE07FB","HT-1100","","USD","320.94 ","269.70 ","51.24 ","3.000 ","EA","20150801"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BE07FB","HT-2026","","USD","107.06 ","89.97 ","17.09 ","3.000 ","EA","20150721"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BE27FB","HT-1600","","ARS","2142.00 ","1800.00 ","342.00 ","3.000 ","EA","20150129"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BE27FB","HT-1022","","ARS","243.95 ","205.00 ","38.95 ","1.000 ","EA","20150410"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BE47FB","HT-6100","","EUR","1116.22 ","938.00 ","178.22 ","2.000 ","EA","20150923"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BE47FB","HT-1000","","EUR","2275.28 ","1912.00 ","363.28 ","2.000 ","EA","20151223"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BE67FB","HT-2026","","USD","71.38 ","59.98 ","11.40 ","2.000 ","EA","20150806"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BE67FB","HT-1002","","USD","1868.30 ","1570.00 ","298.30 ","1.000 ","EA","20150316"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BE87FB","HT-1603","","JPY","6069.00 ","5100.00 ","969.00 ","3.000 ","EA","20150707"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BE87FB","HT-1011","","JPY","8207.43 ","6897.00 ","1310.43 ","3.000 ","EA","20151019"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BEA7FB","HT-1106","","MXN","121.38 ","102.00 ","19.38 ","3.000 ","EA","20151107"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BEA7FB","HT-1601","","MXN","3213.00 ","2700.00 ","513.00 ","3.000 ","EA","20150222"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BEC7FB","HT-2000","","EUR","892.46 ","749.97 ","142.49 ","3.000 ","EA","20150518"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BEC7FB","HT-1010","","EUR","7136.43 ","5997.00 ","1139.43 ","3.000 ","EA","20150913"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BEE7FB","HT-1003","","EUR","1963.50 ","1650.00 ","313.50 ","1.000 ","EA","20150118"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BEE7FB","HT-1101","","EUR","190.16 ","159.80 ","30.36 ","2.000 ","EA","20150330"
