"CLIENT","SALESORDERID","HISTORY_CREATEDBY_EMPLOYEEID","HISTORY_CREATEDAT","HISTORY_CHANGEDBY_EMPLOYEEID","HISTORY_CHANGEDAT","NOTEID","PARTNER_PARTNERID","CURRENCY","GROSSAMOUNT","NETAMOUNT","TAXAMOUNT","LIFECYCLESTATUS","BILLINGSTATUS","DELIVERYSTATUS"
"100","02BD2137-0890-1EEA-A6C2-BB606A71C7FB","02BD2137-0890-1EEA-A6C2-BB55C19A67FB","20150101","02BD2137-0890-1EEA-A6C2-BB55C19787FB","20150115","","02BD2137-0890-1EEA-A6C2-BB55C19BA7FB","EUR","26581.03 ","22337.00 ","4244.03 ","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB606A71E7FB","02BD2137-0890-1EEA-A6C2-BB55C19B67FB","20150102","02BD2137-0890-1EEA-A6C2-BB55C199E7FB","20150116","","02BD2137-0890-1EEA-A6C2-BB55C19BE7FB","EUR","9417.66 ","7914.00 ","1503.66 ","N","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB606A7207FB","02BD2137-0890-1EEA-A6C2-BB55C19807FB","20150103","02BD2137-0890-1EEA-A6C2-BB55C19827FB","20150117","","02BD2137-0890-1EEA-A6C2-BB55C19C47FB","EUR","5631.08 ","4732.00 ","899.08 ","P","I","D"
"100","02BD2137-0890-1EEA-A6C2-BB606A7227FB","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20150104","02BD2137-0890-1EEA-A6C2-BB55C199C7FB","20150118","","02BD2137-0890-1EEA-A6C2-BB55C19C67FB","EUR","1405.39 ","1181.00 ","224.39 ","N","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB606A7247FB","02BD2137-0890-1EEA-A6C2-BB55C19A27FB","20150105","02BD2137-0890-1EEA-A6C2-BB55C19AE7FB","20150119","","02BD2137-0890-1EEA-A6C2-BB55C19C67FB","EUR","761.24 ","639.70 ","121.54 ","C","P","D"
"100","02BD2137-0890-1EEA-A6C2-BB606A7267FB","02BD2137-0890-1EEA-A6C2-BB55C19827FB","20150106","02BD2137-0890-1EEA-A6C2-BB55C19A47FB","20150120","","02BD2137-0890-1EEA-A6C2-BB55C19CA7FB","EUR","101299.22 ","85125.40 ","16173.82 ","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB606A7287FB","02BD2137-0890-1EEA-A6C2-BB55C19827FB","20150107","02BD2137-0890-1EEA-A6C2-BB55C19807FB","20150121","","02BD2137-0890-1EEA-A6C2-BB55C19C07FB","EUR","250.73 ","210.70 ","40.03 ","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB606A72A7FB","02BD2137-0890-1EEA-A6C2-BB55C19A07FB","20150108","02BD2137-0890-1EEA-A6C2-BB55C19907FB","20150122","","02BD2137-0890-1EEA-A6C2-BB55C19C27FB","EUR","10549.35 ","8865.00 ","1684.35 ","C","P","D"
"100","02BD2137-0890-1EEA-A6C2-BB606A72C7FB","02BD2137-0890-1EEA-A6C2-BB55C19907FB","20150109","02BD2137-0890-1EEA-A6C2-BB55C19807FB","20150123","","02BD2137-0890-1EEA-A6C2-BB55C19CC7FB","EUR","195.16 ","164.00 ","31.16 ","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB606A72E7FB","02BD2137-0890-1EEA-A6C2-BB55C19B47FB","20150110","02BD2137-0890-1EEA-A6C2-BB55C19A27FB","20150124","","02BD2137-0890-1EEA-A6C2-BB55C19BA7FB","EUR","3972.22 ","3338.00 ","634.22 ","P","P","I"
"100","02BD2137-0890-1EEA-A6C2-BB606A7307FB","02BD2137-0890-1EEA-A6C2-BB55C19A47FB","20150111","02BD2137-0890-1EEA-A6C2-BB55C197A7FB","20150125","","02BD2137-0890-1EEA-A6C2-BB55C19BE7FB","EUR","3598.92 ","3024.30 ","574.62 ","N","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB606A7327FB","02BD2137-0890-1EEA-A6C2-BB55C197A7FB","20150112","02BD2137-0890-1EEA-A6C2-BB55C19AC7FB","20150126","","02BD2137-0890-1EEA-A6C2-BB55C19C27FB","EUR","325.94 ","273.90 ","52.04 ","P","P","I"
"100","02BD2137-0890-1EEA-A6C2-BB606A7347FB","02BD2137-0890-1EEA-A6C2-BB55C19AA7FB","20150113","02BD2137-0890-1EEA-A6C2-BB55C19807FB","20150127","","02BD2137-0890-1EEA-A6C2-BB55C19C47FB","EUR","24395.00 ","20500.00 ","3895.00 ","P","I","D"
"100","02BD2137-0890-1EEA-A6C2-BB606A7367FB","02BD2137-0890-1EEA-A6C2-BB55C199C7FB","20150114","02BD2137-0890-1EEA-A6C2-BB55C197A7FB","20150128","","02BD2137-0890-1EEA-A6C2-BB55C19C67FB","EUR","5527.55 ","4645.00 ","882.55 ","P","I","D"
"100","02BD2137-0890-1EEA-A6C2-BB606A7387FB","02BD2137-0890-1EEA-A6C2-BB55C19827FB","20150115","02BD2137-0890-1EEA-A6C2-BB55C19867FB","20150129","","02BD2137-0890-1EEA-A6C2-BB55C19C67FB","EUR","3459.33 ","2907.00 ","552.33 ","P","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB606A73A7FB","02BD2137-0890-1EEA-A6C2-BB55C19A47FB","20150116","02BD2137-0890-1EEA-A6C2-BB55C199C7FB","20150130","","02BD2137-0890-1EEA-A6C2-BB55C19CA7FB","EUR","852.04 ","716.00 ","136.04 ","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB606A73C7FB","02BD2137-0890-1EEA-A6C2-BB55C19AA7FB","20150117","02BD2137-0890-1EEA-A6C2-BB55C199E7FB","20150131","","02BD2137-0890-1EEA-A6C2-BB55C19C27FB","EUR","1916.50 ","1610.50 ","306.00 ","N","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB606A73E7FB","02BD2137-0890-1EEA-A6C2-BB55C19B47FB","20150118","02BD2137-0890-1EEA-A6C2-BB55C19887FB","20150201","","02BD2137-0890-1EEA-A6C2-BB55C19C47FB","EUR","178.14 ","149.70 ","28.44 ","P","P","D"
"100","02BD2137-0890-1EEA-A6C2-BB606A7407FB","02BD2137-0890-1EEA-A6C2-BB55C197C7FB","20150119","02BD2137-0890-1EEA-A6C2-BB55C19987FB","20150202","","02BD2137-0890-1EEA-A6C2-BB55C19BE7FB","EUR","871.55 ","732.40 ","139.15 ","C","P","D"
"100","02BD2137-0890-1EEA-A6C2-BB606A7427FB","02BD2137-0890-1EEA-A6C2-BB55C198E7FB","20150120","02BD2137-0890-1EEA-A6C2-BB55C19B47FB","20150203","","02BD2137-0890-1EEA-A6C2-BB55C19CC7FB","EUR","1028.15 ","864.00 ","164.15 ","N","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB606A7447FB","02BD2137-0890-1EEA-A6C2-BB55C199A7FB","20150121","02BD2137-0890-1EEA-A6C2-BB55C19987FB","20150204","","02BD2137-0890-1EEA-A6C2-BB55C19BA7FB","EUR","5523.38 ","4641.50 ","881.88 ","N","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB606A7467FB","02BD2137-0890-1EEA-A6C2-BB55C19827FB","20150122","02BD2137-0890-1EEA-A6C2-BB55C19887FB","20150205","","02BD2137-0890-1EEA-A6C2-BB55C19BE7FB","EUR","187.54 ","157.60 ","29.94 ","P","P","D"
"100","02BD2137-0890-1EEA-A6C2-BB606A7487FB","02BD2137-0890-1EEA-A6C2-BB55C199A7FB","20150123","02BD2137-0890-1EEA-A6C2-BB55C19907FB","20150206","","02BD2137-0890-1EEA-A6C2-BB55C19C67FB","EUR","521.22 ","438.00 ","83.22 ","N","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB606A74A7FB","02BD2137-0890-1EEA-A6C2-BB55C19B67FB","20150124","02BD2137-0890-1EEA-A6C2-BB55C19B67FB","20150207","","02BD2137-0890-1EEA-A6C2-BB55C19CA7FB","EUR","411.50 ","345.80 ","65.70 ","C","P","D"
"100","02BD2137-0890-1EEA-A6C2-BB606A74C7FB","02BD2137-0890-1EEA-A6C2-BB55C19A67FB","20150125","02BD2137-0890-1EEA-A6C2-BB55C199A7FB","20150208","","02BD2137-0890-1EEA-A6C2-BB55C19C47FB","EUR","11552.52 ","9708.00 ","1844.52 ","P","P","D"
"100","02BD2137-0890-1EEA-A6C2-BB606A74E7FB","02BD2137-0890-1EEA-A6C2-BB55C199A7FB","20150126","02BD2137-0890-1EEA-A6C2-BB55C19947FB","20150209","","02BD2137-0890-1EEA-A6C2-BB55C19C07FB","EUR","26581.03 ","22337.00 ","4244.03 ","C","P","D"
